COL title VAL  "GoPro HDMI Cable"@en Cable AHDMC-301 - Filmtools"@en	COL title VAL  "GoPro Headstrap Plus Quickclip"@en Quickclip | Sportsman's Warehouse"@en	0
COL title VAL  "Fujifilm Instax MINI 25 Instant Film Camera (White)"@en-US "Film Photography - Page 5 | EISF"@en-US	COL title VAL  "Canon Deluxe Gadget Bag 100EG"@en-US "Bags & Cases - Page 3 | EISF"@en-US	0
COL title VAL  " Junghans Men's Max Bill Chronoscope Automatic Chronograph Watch"@en "Men's Watch (027/4600.00) - WATCH SHOP.com™"@en	COL title VAL  "Chronoscope Max Bill"@en 645.00"@en "Junghans Chronoscope Bill 027/4600.00 nur € 1	1
COL title VAL  "Apple MacBook Pro 15.4" With Touch Bar Silver Laptop Computer"@en Computer - MPTU2LL/A"@en	COL title VAL  "Apple MacBook Pro 15.4" With Retina Display 2.5GHz Intel Core i7 Laptop Computer"@en Computer - MJLT2LL/A"@en	0
COL title VAL  "Apple - Smart Keyboard for 12.9 Inch iPad Pro Gray"@en-US	COL title VAL  "Apple - Smart Case for Apple iPad® Air 2 Midnight Blue"@en-US	0
COL title VAL  "Corsair Vengeance - DDR3 8 GB : 2 x 4 SO-DIMM 204-pin" " Corsair 204-pin CMSX8GX3M2A1600C9 System Memory (RAM) CDW.com	COL title VAL  "Corsair Vengeance 8Gb (2x4Gb) DDR3 1600MHz Cas9 SO-DIMM Kit" Kit | CMSX8GX3M2A1600C9"	1
COL title VAL  "HPE Smart Array P421/2GB with FBWC - storage controller (RAID) SATA 6Gb/s" " HPE 6Gb/s 631674-B21 RAID Controllers CDW.com	COL title VAL  "HPE Smart Array P222/512 with FBWC - storage controller (RAID) SATA 6Gb/s" " HPE 6Gb/s 631667-B21 RAID Controllers CDW.com	0
COL title VAL  "Raymond Weil Toccata Watch 5488-STC-50001" "Shop Raymond 5588-ST-60001 Watches | Costello Jewelry Company"	COL title VAL  "Raymond Weil Toccata Watch 5488-ST-50001" "Shop Raymond 5588-STC-20001 Watches | Costello Jewelry Company"	0
COL title VAL  "SanDisk Ultra - Premium Edition flash memory card 200 GB microSDXC UH" " SanDisk UH SDSDQUAN-200G-A4A Flash Memory Cards CDW.com	COL title VAL  "653124-B21 HP G8 G9 200-GB 3G 3.5 SATA MLC SSD" "Null"	0
COL title VAL  "Acer Swift 1 SF113-31-P4A2 Pink "@de " Acer Notebooks: Ausgezeichnete Aspire Modelle f rs Gaming	COL title VAL  "Acer Aspire ES1-132-P194 - Business Notebook "@de " Acer Notebooks: Ausgezeichnete Modelle f rs Gaming	0
COL title VAL  "ASICS Gel-Quantum 360 Knit - White/Snow/Silver"@en " ASICS White/Snow/Silver Mens Shoes T728N-0100 "@en	COL title VAL  "FUZEX"@en-it "FUZEX | Women Women's Easy Running Shoes ASICS"@en-it	0
COL title VAL  "Gigabyte BSI5-6200 BRIX Ultra Compact Mini PC with mDP/HDMI 1.4 and USB 3.0"@en 3.0 LN69906 - GB-BSI5-6200 | SCAN UK"@en	COL title VAL  "Gigabyte BRIX GB-BKi7HA-7500 (rev. 1.0) - Ultra Compact PC Kit Core i7 75" " Gigabyte 75 GB-BKI7HA-7500 Desktop Computers CDWG.com	0
COL title VAL  "Longines Master Collection Watch L2.628.4.51.7" "Shop Longines L2.128.4.57.6 Watches | Northeastern Fine Jewelry"	COL title VAL  "Longines Master Collection Watch L2.628.4.51.7" "Shop Longines L2.518.5.12.7 Watches | Northeastern Fine Jewelry"	1
COL title VAL  "AIR MORE UPTEMPO" " kixpress.com - NIKE   AIR UPTEMPO 414962-103	COL title VAL  "Nike Air More Uptempo white / light brown (414962-103)"@eu (414962-103) | Bludshop.com"@eu	1
COL title VAL  " Junghans Men's Max Bill Automatic Watch"@en "Men's Watch (027/4002.44) - WATCH SHOP.com™"@en	COL title VAL  "Crystal South Horizons Blue Watch"@en "Versus Versace Crystal Watch for Women | US Online Store"@en	0
COL title VAL  " Tissot Men's PRC200 Automatic Watch"@en "Men's Watch (T0554301105700) - WATCH SHOP.com™"@en	COL title VAL  " Tissot Ladies' PRC200 Chronograph Watch"@en "Ladies' Watch (T0552171603202) - WATCH SHOP.com™"@en	0
COL title VAL  "Nike Mercurial Victory V FG - White/Black/Volt/Total Orange"@en " Nike Mens Soccer Cleats Firm Ground Orange "@en	COL title VAL  "Nike Mercurial Victory V FG - Bianco/Nero/Volt/Arancione Totale"@it " Nike Scarpe Uomo Terreni Compatti Totale "@it	1
COL title VAL  "Battery For Leica GEB111"@en-us Battery Total Station Products "Leica Suppliers "@en-us Manufacturers and charger	COL title VAL  "Earthwise 18-Volt Lithium-Ion Battery Charger"@en CHL91302	0
COL title VAL  "408850-B21 HP 1GB (2x512MB) PC2-5300 SDRAM Kit", "Null" "New 408850-B21 Kit Wholesale Price 408850-B21"	COL title VAL  "HP 408850-B21 - Prijzen "@NL Tweakers"@NL	1
COL title VAL  "Canon 2400 Digital SLR Camera Case - Gadget Bag"@en	COL title VAL  "Canon EF 50mm f/1.4 USM Standard Lens for Canon SLR Cameras - Fixed" "Lenses | Ultimate Camera Shop"	0
COL title VAL  "Asics Hyper LD 5 - Deep Blue/Onyx/Flash Yellow"@en " Mens Shoes Asics Yellow G404Y-4399 "@en	COL title VAL  "GEL-CRAZE TR 4"@en-de 4 | Men Men's Training Gym Shoes ASICS"@en-de	0
COL title VAL  "GoPro HERO4 BLACK"@en-US "Video - Page 8 | EISF"@en-US	COL title VAL  "GoPro Curved and Flat Adhesive Mounts"@en " GoPro | Unique Photo "@en	0
COL title VAL  "Puma evoSPEED 1.2 K FG - Blue/Peach"@en " Puma Soccer Shoes Firm Ground Cleats Sharks Blue-Fluro Peach "@en	COL title VAL  "Puma evoPOWER 1.2 FG - Peacoat-White-Bright Plasma"@en " Puma Soccer Shoes Firm Ground Cleats Plasma 10317101 "@en	0
COL title VAL  "Battery For Leica GEB111"@en-us Battery Total Station Products "Leica Suppliers "@en-us Manufacturers and charger	COL title VAL  "Battery For Leica GEB212"@en-us Battery Total Station Products "Leica Suppliers "@en-us Manufacturers and charger	0
COL title VAL  "Nike Sportswear Roshe One - Wolf Grey"@en " Mens Shoes Nike Grey 511881-023 "@en	COL title VAL  "Nike Sportswear Roshe One - Black"@en " Mens Shoes Nike Black 511881-010 "@en	0
COL title VAL  "PYLE PLCMTR71"@en-US PLCMTR71 | They DJ Inc."@en-US	COL title VAL  " Pyle PLCMTR71 Weatherproof Rearview Backup Camera System Kit with 7â€™â€™ LCD Color Monitor, IR Night Vision Camera, Dual DC Voltage 12-24 for Bus, Truck, Trailer, Van "@en-US "Pyle Monito"@en-US	1
COL title VAL  "Puma evoSPEED 3.5 Lth FG - Puma Black/Puma White/Red Blast"@en " Blast Mens Soccer Cleats Firm Ground "@en	COL title VAL  "Puma evoSPEED SL S II FG - Puma Black/Puma White/Red Blast"@en " Blast Mens Soccer Cleats Firm Ground "@en	0
COL title VAL  "2018 Air Jordan 13 “Olive” Black/True Red-Light Olive For Sale"@en-US Sale | New Jordans 2017"@en-US	COL title VAL  "2018 Air Jordan 13 “Olive” Black/True Red-Light Olive Cheap Sale"@en-US Sale | Jordans 2017"@en-US	1
COL title VAL  "Cámara Compacta SONY DSCWX350B"	COL title VAL  "Sony - DSC-WX350 18.2-Megapixel Digital Camera Black"@en-US	1
COL title VAL  " Mens Nixon The Brigade Watch A1176-001 "Men's Watches | Designer For Men Hut"	COL title VAL  " Mens Sekonda Watch 1350 "Men's Watches | Designer For Men The Hut"	0
COL title VAL  "Reloj Polar V800-Negro/Plateado"@es " Reloj V800-GPS-Accesorios para correr-Negro/Plateado "@es	COL title VAL  "Polar V800 Watch - Black/Silver"@en-GB " Accessories Polar Black/Silver 92052229 "@en-GB	1
COL title VAL  "Michele Signature Deco MWW06P000171" "MWW06P000171 New Michele Diamond Ladies Quartz Watch"	COL title VAL  "Michele Serein Mid Watch MWW21B000009" "Shop Michele MWW21B000017 Watches | Northeastern Fine Jewelry"	0
COL title VAL  "Hamilton Jazzmaster Slim Auto Watch H38615735"	COL title VAL  "Hamilton Jazzmaster Slim Auto Watch H38615735" H38615555 "	1
COL title VAL  "G-Shock Herrenuhr"@de "Casio G-Shock Herrenuhr GA-110GB-1AER nur 149 00 €"@de	COL title VAL  "Casio GA-110GB-1AER G-Shock watch"	1
COL title VAL  "Mens Casio G-Shock Premium Gulfmaster Alarm Chronograph Radio Controlled Watch GWN-1000B-1BER"	COL title VAL  "Mens Casio G-Shock Premium Mudmaster Compass Alarm Chronograph Radio Controlled Watch GWG-1000-1A3ER"	0
COL title VAL  " Junghans Men's Max Bill Automatic Watch"@en "Men's Watch (027/4002.44) - WATCH SHOP.com™"@en	COL title VAL  " Ladies Karl Lagerfeld Joleigh Watch KL3409 "Ladies Watches | Designer For Women The Hut"	0
COL title VAL  " Manfrotto Pro Backpack 30 "@en - Optics4Birding	COL title VAL  "Professional DSLR Digital Camera Backpack 30 from Manfrotto"@en Manfrotto LN70268 - MB MP-BP-30BB | SCAN UK"@en	1
COL title VAL  " Canon EF 70-200mm f/4L USM Telephoto Zoom Lens (for SLR Cameras) "@en, "Canon Cameras)"@en Overview - CNET"@en	COL title VAL  "EF 70-200mm f/4.0L USM Lens"	1
COL title VAL  "TomTom Spark 3 HR (Large) - Black"@en " TomTom Cardio Black Accessories 1RK0.002.00 "@en	COL title VAL  "TomTom Spark Fit - (Large) Black"@en " TomTom Black Accessories 1RE0.002.01 "@en	0
COL title VAL  "360RIZE 360Orb 360° Plug-n-Play Rig for GoPro HERO4/3+/3"@en 360Â°	COL title VAL  "GoPro Hero Extended Battery Pack 4000mAh Epic L40GH - NOT COMPATIBLE with 4, 3/3+" 4 3/3+ Limefuel"	0
COL title VAL  "Apple iMac 21.5-inch 2.5GHz Quad-core i5 (Mid 2011) MC309LL/A" "iMac 21.5" | macofalltrades"	COL title VAL  "Fair Condition*: Apple iMac 21.5-inch 2.5GHz Quad-Core i5 (Mid 2011) MC309LL/A" "iMac 21.5" 2011)* | macofalltrades"	1
COL title VAL  "Garmin Forerunner 235 - Black Frost Blue"@en " Garmin Running Accessories & Blue "@en	COL title VAL  "TomTom Touch Activity Tracker (Large) - Black"@en-GB " TomTom Black Accessories 1AT0.001.00 "@en-GB	0
